case_id,cve_id,artifact,baseline_version,target_version,status,failure_kind,failure_subtype,scenario_type,vulnerability_presence_score,final_failure_reason,vulnerability_presence_verdict,judgment_confidence
CVE-2020-36518__00__2.4.0-rc1__2.3.3,CVE-2020-36518,com.fasterxml.jackson.core:jackson-databind,2.4.0-rc1,2.3.3,execution_failure,process_failure,missing_method,process_failure,55,undetermined,unknown,low
CVE-2020-5245__00__1.3.9__1.3.8,CVE-2020-5245,io.dropwizard:dropwizard-validation,1.3.9,1.3.8,trace_diff,,trace_difference,trace_diff,49,undetermined,unknown,low
CVE-2020-5398__03__5.0.0.RELEASE__4.3.11.RELEASE,CVE-2020-5398,org.springframework:spring-web,5.0.0.RELEASE,4.3.11.RELEASE,trace_diff,,trace_difference,trace_diff,0,vulnerability_not_present,no,high
CVE-2020-6858__02__1.0.0.beta3__0.7.10,CVE-2020-6858,com.hotels.styx:styx-api,1.0.0.beta3,0.7.10,trace_diff,,trace_difference,trace_diff,51,undetermined,unknown,low
CVE-2020-8929__00__1.3.0-rc1__1.2.2,CVE-2020-8929,com.google.crypto.tink:tink,1.3.0-rc1,1.2.2,trace_diff,,trace_difference,trace_diff,25,vulnerability_not_present,no,medium
CVE-2020-9546__00__2.4.1.2__2.4.1.1,CVE-2020-9546,com.fasterxml.jackson.core:jackson-databind,2.4.1.2,2.4.1.1,trace_diff,,trace_difference,trace_diff,0,vulnerability_not_present,no,high
CVE-2021-21234__00__0.2.9__0.2.8,CVE-2021-21234,eu.hinsch:spring-boot-actuator-logview,0.2.9,0.2.8,trace_diff,,trace_difference,trace_diff,0,vulnerability_not_present,no,high
CVE-2021-21344__00__1.4.1__1.4,CVE-2021-21344,com.thoughtworks.xstream:xstream,1.4.1,1.4,trace_diff,,trace_difference,trace_diff,0,vulnerability_not_present,no,high
CVE-2021-21344__02__1.4.6__1.4.5,CVE-2021-21344,com.thoughtworks.xstream:xstream,1.4.6,1.4.5,trace_diff,,trace_difference,trace_diff,20,vulnerability_not_present,no,high
CVE-2021-21344__03__1.4.15__1.4.14-java7,CVE-2021-21344,com.thoughtworks.xstream:xstream,1.4.15,1.4.14-java7,trace_diff,,trace_difference,trace_diff,53,undetermined,unknown,low
CVE-2021-21345__00__1.4.1__1.4,CVE-2021-21345,com.thoughtworks.xstream:xstream,1.4.1,1.4,trace_diff,,trace_difference,trace_diff,25,vulnerability_not_present,no,high
CVE-2021-21345__02__1.4.6__1.4.5,CVE-2021-21345,com.thoughtworks.xstream:xstream,1.4.6,1.4.5,trace_diff,,trace_difference,trace_diff,25,vulnerability_not_present,no,high
CVE-2021-21345__03__1.4.15__1.4.14-java7,CVE-2021-21345,com.thoughtworks.xstream:xstream,1.4.15,1.4.14-java7,trace_diff,,trace_difference,trace_diff,62,undetermined,unknown,low
CVE-2021-21346__00__1.4.6__1.4.5,CVE-2021-21346,com.thoughtworks.xstream:xstream,1.4.6,1.4.5,trace_diff,,trace_difference,trace_diff,25,vulnerability_not_present,no,medium
CVE-2021-21346__01__1.4.15__1.4.14-java7,CVE-2021-21346,com.thoughtworks.xstream:xstream,1.4.15,1.4.14-java7,trace_diff,,trace_difference,trace_diff,75,exploit_invalid_due_to_version_change,possibly_yes,medium
CVE-2021-21349__00__1.4.1__1.4,CVE-2021-21349,com.thoughtworks.xstream:xstream,1.4.1,1.4,trace_diff,,trace_difference,trace_diff,20,vulnerability_not_present,no,high
CVE-2021-21349__02__1.4.6__1.4.5,CVE-2021-21349,com.thoughtworks.xstream:xstream,1.4.6,1.4.5,trace_diff,,trace_difference,trace_diff,0,vulnerability_not_present,no,high
CVE-2021-21349__03__1.4.15__1.4.14-java7,CVE-2021-21349,com.thoughtworks.xstream:xstream,1.4.15,1.4.14-java7,trace_diff,,trace_difference,trace_diff,20,vulnerability_not_present,no,high
CVE-2021-21351__00__1.4.6__1.4.5,CVE-2021-21351,com.thoughtworks.xstream:xstream,1.4.6,1.4.5,trace_diff,,trace_difference,trace_diff,50,undetermined,unknown,low
CVE-2021-21351__01__1.4.15__1.4.14-java7,CVE-2021-21351,com.thoughtworks.xstream:xstream,1.4.15,1.4.14-java7,trace_diff,,trace_difference,trace_diff,25,vulnerability_not_present,no,medium
CVE-2021-27568__00__1.0.8__1.0.6.3,CVE-2021-27568,net.minidev:json-smart,1.0.8,1.0.6.3,trace_diff,,trace_difference,trace_diff,75,exploit_invalid_due_to_version_change,possibly_yes,medium
CVE-2021-27807__01__2.0.0-RC1__1.8.10,CVE-2021-27807,org.apache.pdfbox:pdfbox,2.0.0-RC1,1.8.10,trace_diff,,trace_difference,trace_diff,20,vulnerability_not_present,no,medium
CVE-2021-29425__00__1.1__0.1,CVE-2021-29425,commons-io:commons-io,1.1,0.1,trace_diff,,trace_difference,trace_diff,0,vulnerability_not_present,no,high
CVE-2021-29425__01__1.2__1.0,CVE-2021-29425,commons-io:commons-io,1.2,1.0,trace_diff,,trace_difference,trace_diff,100,exploit_invalid_due_to_version_change,possibly_yes,medium
CVE-2021-29505__00__1.4.6__1.4.5,CVE-2021-29505,com.thoughtworks.xstream:xstream,1.4.6,1.4.5,trace_diff,,trace_difference,trace_diff,46,undetermined,unknown,low
CVE-2021-29505__01__1.4.15__1.4.14-java7,CVE-2021-29505,com.thoughtworks.xstream:xstream,1.4.15,1.4.14-java7,trace_diff,,trace_difference,trace_diff,52,undetermined,unknown,low
CVE-2021-31684__02__1.1__1.0.9,CVE-2021-31684,net.minidev:json-smart,1.1,1.0.9,trace_diff,,trace_difference,trace_diff,0,vulnerability_not_present,no,high
CVE-2021-33609__00__8.0.6__8.0.5,CVE-2021-33609,com.vaadin:vaadin-server,8.0.6,8.0.5,trace_diff,,trace_difference,trace_diff,10,vulnerability_not_present,no,high
CVE-2021-35043__02__1.6.6__1.6.5,CVE-2021-35043,org.owasp.antisamy:antisamy,1.6.6,1.6.5,trace_diff,,trace_difference,trace_diff,75,exploit_invalid_due_to_version_change,possibly_yes,medium
CVE-2021-35516__00__1.20__1.19,CVE-2021-35516,org.apache.commons:commons-compress,1.20,1.19,trace_diff,,trace_difference,trace_diff,0,vulnerability_not_present,no,high
CVE-2021-39141__00__1.4.1__1.4,CVE-2021-39141,com.thoughtworks.xstream:xstream,1.4.1,1.4,trace_diff,,trace_difference,trace_diff,0,vulnerability_not_present,no,high
CVE-2021-39141__02__1.4.6__1.4.5,CVE-2021-39141,com.thoughtworks.xstream:xstream,1.4.6,1.4.5,trace_diff,,trace_difference,trace_diff,20,vulnerability_not_present,no,high
CVE-2021-39141__03__1.4.15__1.4.14-java7,CVE-2021-39141,com.thoughtworks.xstream:xstream,1.4.15,1.4.14-java7,trace_diff,,trace_difference,trace_diff,51,undetermined,unknown,low
CVE-2021-39144__00__1.4.1__1.4,CVE-2021-39144,com.thoughtworks.xstream:xstream,1.4.1,1.4,trace_diff,,trace_difference,trace_diff,64,undetermined,unknown,low
CVE-2021-39144__02__1.4.6__1.4.5,CVE-2021-39144,com.thoughtworks.xstream:xstream,1.4.6,1.4.5,trace_diff,,trace_difference,trace_diff,20,vulnerability_not_present,no,high
CVE-2021-39144__03__1.4.15__1.4.14-java7,CVE-2021-39144,com.thoughtworks.xstream:xstream,1.4.15,1.4.14-java7,trace_diff,,trace_difference,trace_diff,58,undetermined,unknown,low
CVE-2021-39150__00__1.4.1__1.4,CVE-2021-39150,com.thoughtworks.xstream:xstream,1.4.1,1.4,trace_diff,,trace_difference,trace_diff,0,vulnerability_not_present,no,high
CVE-2021-39150__02__1.4.6__1.4.5,CVE-2021-39150,com.thoughtworks.xstream:xstream,1.4.6,1.4.5,trace_diff,,trace_difference,trace_diff,20,vulnerability_not_present,no,high
CVE-2021-39150__03__1.4.15__1.4.14-java7,CVE-2021-39150,com.thoughtworks.xstream:xstream,1.4.15,1.4.14-java7,trace_diff,,trace_difference,trace_diff,50,undetermined,unknown,medium
CVE-2021-40111__01__3.5.0__3.4.0,CVE-2021-40111,org.apache.james.protocols:protocols-imap,3.5.0,3.4.0,trace_diff,,trace_difference,trace_diff,0,vulnerability_not_present,no,high
CVE-2021-40660__00__0.1.22__0.1.21,CVE-2021-40660,org.javadelight:delight-nashorn-sandbox,0.1.22,0.1.21,trace_diff,,trace_difference,trace_diff,75,exploit_invalid_due_to_version_change,possibly_yes,medium
CVE-2021-42575__01__20170329.1__20160924.1,CVE-2021-42575,com.googlecode.owasp-java-html-sanitizer:owasp-java-html-sanitizer,20170329.1,20160924.1,trace_diff,,trace_difference,trace_diff,25,exploit_invalid_due_to_version_change,possibly_yes,medium
CVE-2021-43090__01__1.5.4__1.5.3,CVE-2021-43090,com.predic8:soa-model-core,1.5.4,1.5.3,execution_failure,dependency_resolution_failure,dependency_resolution_failure,dependency_resolution_failure,50,undetermined,unknown,low
CVE-2021-43113__00__7.1.12__7.1.11,CVE-2021-43113,com.itextpdf:kernel,7.1.12,7.1.11,trace_diff,,trace_difference,trace_diff,0,vulnerability_not_present,no,high
CVE-2021-43795__01__1.12.0__1.11.0,CVE-2021-43795,com.linecorp.armeria:armeria,1.12.0,1.11.0,trace_diff,,trace_difference,trace_diff,75,undetermined,possibly_yes,medium
CVE-2021-43859__00__1.4.1__1.4,CVE-2021-43859,com.thoughtworks.xstream:xstream,1.4.1,1.4,trace_diff,,trace_difference,trace_diff,25,vulnerability_not_present,no,medium
CVE-2021-43859__01__1.4.15__1.4.14-java7,CVE-2021-43859,com.thoughtworks.xstream:xstream,1.4.15,1.4.14-java7,trace_diff,,trace_difference,trace_diff,25,vulnerability_not_present,no,high
CVE-2021-44228__00__2.0-rc2__2.0-rc1,CVE-2021-44228,org.apache.logging.log4j:log4j-core,2.0-rc2,2.0-rc1,trace_diff,,trace_difference,trace_diff,50,undetermined,unknown,low
CVE-2021-45046__00__2.0-rc2__2.0-rc1,CVE-2021-45046,org.apache.logging.log4j:log4j-core,2.0-rc2,2.0-rc1,trace_diff,,trace_difference,trace_diff,50,undetermined,unknown,medium
CVE-2022-0272__00__1.10.0-RC1__1.9.1,CVE-2022-0272,io.gitlab.arturbosch.detekt:detekt-core,1.10.0-RC1,1.9.1,trace_diff,,trace_difference,trace_diff,5,vulnerability_not_present,no,medium
CVE-2022-0839__00__3.2.0__3.1.1,CVE-2022-0839,org.liquibase:liquibase-core,3.2.0,3.1.1,trace_diff,,trace_difference,trace_diff,50,undetermined,unknown,low
CVE-2022-1471__00__1.7__1.6,CVE-2022-1471,org.yaml:snakeyaml,1.7,1.6,trace_diff,,trace_difference,trace_diff,52,undetermined,unknown,low
CVE-2022-1848__00__1.42.2__1.42.1,CVE-2022-1848,com.erudika:para-core,1.42.2,1.42.1,trace_diff,,trace_difference,trace_diff,25,vulnerability_not_present,no,high
CVE-2022-21126__00__2.4.1__2.4.0,CVE-2022-21126,com.github.samtools:htsjdk,2.4.1,2.4.0,execution_failure,dependency_resolution_failure,dependency_resolution_failure,dependency_resolution_failure,25,vulnerability_not_present,no,high
CVE-2022-21724__00__9.4.1209.jre6__9.4.1207.jre7,CVE-2022-21724,org.postgresql:postgresql,9.4.1209.jre6,9.4.1207.jre7,trace_diff,,trace_difference,trace_diff,50,undetermined,unknown,low
CVE-2022-21724__01__9.4.1208__9.4.1207.jre6,CVE-2022-21724,org.postgresql:postgresql,9.4.1208,9.4.1207.jre6,trace_diff,,trace_difference,trace_diff,50,undetermined,unknown,low
CVE-2022-21724__03__42.2.22.jre7__42.2.22.jre6,CVE-2022-21724,org.postgresql:postgresql,42.2.22.jre7,42.2.22.jre6,trace_diff,,trace_difference,trace_diff,0,vulnerability_not_present,no,medium
CVE-2022-21724__06__42.2.16__42.2.15.jre6,CVE-2022-21724,org.postgresql:postgresql,42.2.16,42.2.15.jre6,trace_diff,,trace_difference,trace_diff,75,exploit_invalid_due_to_version_change,possibly_yes,medium
CVE-2022-22968__02__3.0.0.RELEASE__2.5.6.SEC01,CVE-2022-22968,org.springframework:spring-context,3.0.0.RELEASE,2.5.6.SEC01,trace_diff,,trace_difference,trace_diff,51,undetermined,unknown,low
CVE-2022-22976__01__5.5.0__5.4.11,CVE-2022-22976,org.springframework.security:spring-security-crypto,5.5.0,5.4.11,trace_diff,,trace_difference,trace_diff,0,vulnerability_not_present,no,high
CVE-2022-22976__04__5.6.0__5.5.8,CVE-2022-22976,org.springframework.security:spring-security-crypto,5.6.0,5.5.8,trace_diff,,trace_difference,trace_diff,75,exploit_invalid_due_to_version_change,possibly_yes,medium
CVE-2022-22980__00__2.2.0.RELEASE__2.1.21.RELEASE,CVE-2022-22980,org.springframework.data:spring-data-mongodb,2.2.0.RELEASE,2.1.21.RELEASE,execution_failure,execution_failure,missing_method,test_failure,0,vulnerability_not_present,no,high
CVE-2022-23457__00__2.2.1.0-RC1__2.2.0.0,CVE-2022-23457,org.owasp.esapi:esapi,2.2.1.0-RC1,2.2.0.0,trace_diff,,trace_difference,trace_diff,50,undetermined,unknown,medium
CVE-2022-24898__01__13.0__12.10.11,CVE-2022-24898,org.xwiki.commons:xwiki-commons-xml,13.0,12.10.11,trace_diff,,trace_difference,trace_diff,0,vulnerability_not_present,no,high
CVE-2022-24898__03__13.5-rc-1__13.4.7,CVE-2022-24898,org.xwiki.commons:xwiki-commons-xml,13.5-rc-1,13.4.7,trace_diff,,trace_difference,trace_diff,25,vulnerability_not_present,no,high
CVE-2022-25845__05__1.2.59__1.2.8.sec05,CVE-2022-25845,com.alibaba:fastjson,1.2.59,1.2.8.sec05,trace_diff,,trace_difference,trace_diff,25,vulnerability_not_present,no,medium
CVE-2022-25845__14__1.2.52.sec10__1.2.7.sec10,CVE-2022-25845,com.alibaba:fastjson,1.2.52.sec10,1.2.7.sec10,trace_diff,,trace_difference,trace_diff,50,undetermined,unknown,low
CVE-2022-25845__17__1.2.61.sec10__1.2.2.sec10,CVE-2022-25845,com.alibaba:fastjson,1.2.61.sec10,1.2.2.sec10,trace_diff,,trace_difference,trace_diff,50,undetermined,unknown,medium
CVE-2022-25867__02__1.0.0__0.9.0,CVE-2022-25867,io.socket:socket.io-client,1.0.0,0.9.0,trace_diff,,trace_difference,trace_diff,15,vulnerability_not_present,no,high
CVE-2022-29577__02__1.7.3__1.7.2,CVE-2022-29577,org.owasp.antisamy:antisamy,1.7.3,1.7.2,trace_diff,,trace_difference,trace_diff,10,vulnerability_not_present,no,high
CVE-2022-29631__00__3.4.2__3.4.1,CVE-2022-29631,org.jodd:jodd-http,3.4.2,3.4.1,trace_diff,,trace_difference,trace_diff,0,vulnerability_not_present,no,high
CVE-2022-34662__00__2.0.0__2.0.0-alpha,CVE-2022-34662,org.apache.dolphinscheduler:dolphinscheduler-api,2.0.0,2.0.0-alpha,trace_diff,,trace_difference,trace_diff,53,undetermined,unknown,low
CVE-2022-36033__01__1.14.1__1.13.1,CVE-2022-36033,org.jsoup:jsoup,1.14.1,1.13.1,trace_diff,,trace_difference,trace_diff,50,undetermined,unknown,medium
CVE-2022-39243__00__1.2.4__1.2.3,CVE-2022-39243,com.zaxxer:nuprocess,1.2.4,1.2.3,trace_diff,,trace_difference,trace_diff,50,undetermined,unknown,medium
CVE-2022-40151__00__1.4.1__1.4,CVE-2022-40151,com.thoughtworks.xstream:xstream,1.4.1,1.4,trace_diff,,trace_difference,trace_diff,20,vulnerability_not_present,no,high
CVE-2022-40151__01__1.4.15__1.4.14-java7,CVE-2022-40151,com.thoughtworks.xstream:xstream,1.4.15,1.4.14-java7,trace_diff,,trace_difference,trace_diff,20,vulnerability_not_present,no,medium
CVE-2022-41854__00__1.26__1.25,CVE-2022-41854,org.yaml:snakeyaml,1.26,1.25,trace_diff,,trace_difference,trace_diff,0,vulnerability_not_present,no,high
CVE-2022-41915__00__5.0.0.Alpha2__5.0.0.Alpha1,CVE-2022-41915,io.netty:netty-codec-http,5.0.0.Alpha2,5.0.0.Alpha1,execution_failure,process_failure,binary_incompatibility,process_failure,75,undetermined,unknown,low
CVE-2022-41915__01__4.1.83.Final__4.1.82.Final,CVE-2022-41915,io.netty:netty-codec-http,4.1.83.Final,4.1.82.Final,execution_failure,process_failure,binary_incompatibility,process_failure,18,vulnerability_not_present,no,medium
CVE-2022-41966__00__1.4.1__1.4,CVE-2022-41966,com.thoughtworks.xstream:xstream,1.4.1,1.4,trace_diff,,trace_difference,trace_diff,50,undetermined,unknown,medium
CVE-2022-41966__01__1.4.15__1.4.14-java7,CVE-2022-41966,com.thoughtworks.xstream:xstream,1.4.15,1.4.14-java7,trace_diff,,trace_difference,trace_diff,0,vulnerability_not_present,no,high
